PMID,Title,publication_date
33887800,Conducting conservation social science surveys online,4/23/2021
33887766,Changes in the Health of Adolescent Athletes: A Comparison of Health Measures Collected Before and During the CoVID-19 Pandemic,4/23/2021
33887168,e-Health Technological Ecosystems: Advanced Solutions to Support Informal Caregivers and Vulnerable Populations During the COVID-19 Outbreak,4/23/2021
33887166,Organizational and External Factors Associated with Video Telehealth Use in the Veterans Health Administration Before and During the COVID-19 Pandemic,4/23/2021
33887160,Sexual Minority Disparities in Health and Well-being as a Consequence of the COVID-19 Pandemic Differ by Sexual Identity,4/23/2021
33887156,Risk of Transmitting Coronavirus Disease 2019 During Nebulizer Treatment: A Systematic Review,4/23/2021
33887155,Digital Transformation in Personalized Medicine with Artificial Intelligence and the Internet of Medical Things,4/23/2021
33887116,Effects of the COVID-19 lockdown on sleep duration in children and adolescents: A survey across different continents,4/23/2021
33887107,"Science in Service of Society: COVID-19, Climate Change, and the Future",4/23/2021
33887054,Engaging Family Medicine Residents in a Structured Patient Panel Reassignment Process,4/23/2021
33887050,Changes in Family Medicine Clerkship Teaching Due to the COVID-19 Pandemic,4/23/2021
33886540,Addressing power asymmetries in global health: Imperatives in the wake of the COVID-19 pandemic,4/23/2021
33886516,Anesthetic Complications Associated with SARS-CoV-2 in Pediatric Patients,4/23/2021
33886509,Dissemination of anesthesia information during COVID-19 through Twitter: an infodemiology study,4/23/2021
33886507,Intradermal delivery of a synthetic DNA vaccine protects macaques from Middle East respiratory syndrome coronavirus,4/23/2021
33886504,Does taking an angiotensin inhibitor increase the risk for COVID-19? - a systematic review and meta-analysis,4/23/2021
33886501,Assessing the Mental Impact and Burnout among Physicians during the COVID-19 Pandemic: A Developing Country Single-Center Experience,4/23/2021
33886500,COVID-19 in Africa: Survey Analysis of Impact on Health-Care Workers,4/23/2021
33886442,"Cancer survivors' perceived vulnerability to COVID-19 and impacts on cognitive, affective, and behavioral responses to the pandemic",4/23/2021
33886437,Emails provide staff support through COVID-19,4/23/2021
33886433,The impact of COVID-19 on the professional and personal lives of pediatric oncology social workers,4/23/2021
33886411,Safety survey by clinical pharmacists on COVID-19 vaccination from a single center in China,4/23/2021
33886392,"Household chaos, maternal stress, and maternal health behaviors in the United States during the COVID-19 outbreak",4/23/2021
33886164,Painless Idiopathic Neuralgic Amyotrophy After COVID-19 Vaccination: A Case Report,4/23/2021
33886124,Optimizing Island Refuges against global Catastrophic and Existential Biological Threats: Priorities and Preparations,4/23/2021
33885744,COVID-19 in Pregnant Women and Their Newborn Infants,4/23/2021
33885728,Remote Research and Clinical Trial Integrity During and After the Coronavirus Pandemic,4/23/2021
33885722,Measuring Tracheotomy Risk in Patients With COVID-19: Time to Look Beyond Surgery and Surgeons,4/23/2021
33885721,Measuring Tracheotomy Risk in Patients With COVID-19-Time to Look Beyond Surgery and Surgeons-Reply,4/23/2021
33885705,COVID-19 Lessons From the National Basketball Association Bubble-Can Persistently SARS-CoV-2-Positive Individuals Transmit Infection to Others?,4/23/2021
33885429,How social determinants of health affect COVID-19-related morbidity and mortality,4/23/2021
33885428,How social determinants of health affect COVID-19-related morbidity and mortality,4/23/2021
33885426,Best practices to reduce COVID-19 transmission via contact with environmental surfaces,4/23/2021
33885350,"Almost one year of COVID-19 pandemic: how radiotherapy centers have counteracted its impact on cancer treatment in Lombardy, Italy. CODRAL/AIRO-L study",4/23/2021
33885349,Rural Palliative Care Patients' Attitudes toward Telemedicine Visits during the COVID-19 Pandemic: A Descriptive Study,4/23/2021
33885345,Sex-Based Differences in COVID-19 Outcomes,4/23/2021
33885337,Linkage of Lambda Interferons in Protection Against Severe COVID-19,4/23/2021
33885335,Bilateral angle-closure during hospitalization for coronavirus disease-19 (COVID-19): A case report,4/23/2021
33885180,"Food insecurity associated with elevated eating disorder symptoms, impairment, and eating disorder diagnoses in an American University student sample before and during the beginning of the COVID-19 pandemic",4/23/2021
33885150,COVID-19 in pregnancy-characteristics and outcomes of pregnant women admitted to hospital because of SARS-CoV-2 infection in the Nordic countries,4/23/2021
33885040,A 10-Year-Old Girl With Late Acute Lymphoblastic Leukemia Recurrence Diagnosed With COVID-19 and Treated With Remdesivir,4/23/2021
33885037,Feasibility of a Pilot Home Phlebotomy Program for Pediatric Hematology/Oncology Patients During the COVID-19 Pandemic,4/23/2021
33884756,"Single-cell systems biology, COVID-19, and vaccination",4/23/2021
33884642,"Knowledge levels, attitudes, and perceptions of individuals with different demographic characteristics on COVID-19: The case of Turkey",4/23/2021
33883747,Meeting the need for COVID-19 models,4/23/2021
33883531,"Work from Home during the COVID-19 Outbreak: The Impact on Employees' Remote Work Productivity, Engagement and Stress",4/23/2021
33883521,Pharmacokinetic/Pharmacodynamic Dosage Individualization of Cefepime in Critically Ill Patients: A Case Study,4/23/2021
33883486,False-Positive Axillary Lymph Nodes on FDG PET/CT Resulting From COVID-19 Immunization,4/23/2021
33883479,Upper Respiratory Tract Co-detection of Human Endemic Coronaviruses and High-density Pneumococcus Associated With Increased Severity Among HIV-Uninfected Children Under 5 Years Old in the PERCH Study,4/23/2021
33883424,COVID-19: reflections on providing dysphagia care in a Boston hospital,4/23/2021
33883401,Hands Off Yet All In: A Virtual Clerkship Pilot in the Ambulatory Setting During the COVID-19 Pandemic,4/23/2021
33883400,"ALiEM Connect: Large-Scale, Interactive Virtual Residency Programming in Response to COVID-19",4/23/2021
33883398,Virtual Telesimulation for Medical Students During the COVID-19 Pandemic,4/23/2021
33883291,"Effects of Power Training on Physical Activity, Sitting Time, Disability, and Quality of Life in Older Patients With Type 2 Diabetes During the COVID-19 Confinement",4/23/2021
33883267,Structural basis for backtracking by the SARS-CoV-2 replication-transcription complex,4/23/2021
33883260,"SARS-CoV-2 Antibody Seroprevalence in Wuhan, China, from 23 April to 24 May 2020",4/23/2021
33883259,Single-Dilution COVID-19 Antibody Test with Qualitative and Quantitative Readouts,4/23/2021
33883243,Compassionate Use of Remdesivir in Children With Severe COVID-19,4/23/2021
33883068,Pregnant in the United States in the COVID-19 pandemic: A collision of crises we cannot ignore,4/23/2021
33883059,"Severe Acute Respiratory Syndrome Coronavirus 2 P.2 Lineage Associated with Reinfection Case, Brazil, June-October 2020",4/23/2021
33882800,The Influence of Cognitive Heuristics and Biases on Palliative Social Workers' Support of Patient and Caregiver Decision Making: The Pulse Oximeter Buying Trend during the COVID-19 Pandemic,4/23/2021
33882782,Digital Inclusion of Older Adults during COVID-19: Lessons from a Case Study of Older Adults Technology Services (OATS),4/23/2021
33882781,Exploring the Impact of COVID-19 Pandemic on Economic Activities and Well-being of Older Adults in South-eastern Nigeria: Lessons for Gerontological Social Workers,4/23/2021
33882745,Complexities of COVID-19 Demonstrate the Need for More Interdisciplinary Research Training in Graduate School,4/23/2021
33882735,Utilizing the ACCESS Model to Understand Communication With the Ultraorthodox Community in Beit Shemesh During the First Wave of COVID-19,4/23/2021
33882724,Treatment of Severe Hypertriglyceridemia With Insulin Infusions in Severe COVID-19: A Case Series,4/23/2021
33882694,Approach to Sedation and Analgesia in COVID-19 Patients on Venovenous Extracorporeal Membrane Oxygenation,4/23/2021
33882690,Supporting the Mental Health Workforce During and After COVID-19,4/23/2021
33882680,Promoting Population Behavioral Health in a Safety-Net Health System During the COVID-19 Pandemic,4/23/2021
33882576,Battling Burnout at the Frontlines of Health Care Amid COVID-19,4/22/2021
33882553,Perceptions of Authentic Nurse Leadership and Work Environment and the Pandemic Impact for Nurse Leaders and Clinical Nurses,4/22/2021
33882550,Conducting a Virtual Research Symposium: Path to Success,4/22/2021
33882538,Telemedicine for adult congenital heart disease patients during the first wave of COVID-19 era: a single center experience,4/22/2021
33882522,Using Telehealth Approaches to Address Social Determinants of Health and Improve Pregnancy and Postpartum Outcomes,4/22/2021
33882385,Home education for children with autism spectrum disorder during the COVID-19 pandemic: Indonesian mothers experience,4/22/2021
33882227,BNT162b2 mRNA Covid-19 Vaccine in a Nationwide Mass Vaccination Setting. Reply,4/22/2021
33882226,BNT162b2 mRNA Covid-19 Vaccine in a Nationwide Mass Vaccination Setting,4/22/2021
33882225,Safety and Efficacy of Single-Dose Ad26.COV2.S Vaccine against Covid-19,4/22/2021
33882224,Emergency Intubation in Covid-19. Reply,4/22/2021
33882223,Emergency Intubation in Covid-19,4/22/2021
33882222,Emergency Intubation in Covid-19,4/22/2021
33882221,Emergency Intubation in Covid-19,4/22/2021
33882219,Vaccine Breakthrough Infections with SARS-CoV-2 Variants,4/22/2021
33882218,Preliminary Findings of mRNA Covid-19 Vaccine Safety in Pregnant Persons,4/22/2021
33882217,Cytokine Storm. Reply,4/22/2021
33882216,Cytokine Storm,4/22/2021
33882215,Cytokine Storm,4/22/2021
33882214,Cytokine Storm,4/22/2021
33882211,Audio Interview: Covid-19 Vaccines and Pregnancy - A Conversation with CDC Director Rochelle Walensky,4/22/2021
33882210,Platform Trials - Beware the Noncomparable Control Group,4/22/2021
33882157,Japan's Drug Regulation During the COVID-19 Pandemic: Lessons From a Case Study of Favipiravir,4/22/2021
33882148,"Prostate cancer survivorship, deaths, and health care management",4/22/2021
33882042,COVID-19 and telehealth: Applying telehealth and telemedicine in a pandemic,4/22/2021
33882025,The Global Case-Fatality Rate of COVID-19 Has Been Declining Since May 2020,4/22/2021
33882010,COVID-19 Automatic Diagnosis with Radiographic Imaging: Explainable AttentionTransfer Deep Neural Networks,4/22/2021
33881958,Neuroimaging Findings of Hospitalized Covid-19 Patients: A Canadian Retrospective Observational Study,4/22/2021
33881955,Olfactory Cleft Opacification in COVID-19 Related Smell Loss: CT Findings and Correlation With Objective Testing,4/22/2021
33881925,"Letter by Carmona et al Regarding Article, ""Beneficial Effect of Statins in COVID-19-Related Outcomes-Brief Report: a National Population-Based Cohort Study""",4/22/2021
33881924,Delays in Treatment Because of COVID-19 Infection in Children With Cancer and Stem-Cell Transplant Recipients in Turkey,4/22/2021
33881908,Associations Between Individual Demographic Characteristics And Involuntary Health Care Delays As A Result Of COVID-19,4/22/2021
33881489,Navigating Attacks Against Health Care Workers in the COVID-19 Era,4/22/2021
33881466,Opportunities and Challenges for the Next Phase of Enhanced Recovery After Surgery: A Review,4/22/2021
33881385,Priority Setting of Ventilators in the COVID-19 Pandemic from the Public's Perspective,4/22/2021
33881360,Dysregulation of ion transport in the lung epithelium infected with SARS-CoV-2,4/22/2021
33881229,Lupus anticoagulant single positivity at acute phase is not associated with venous thromboembolism or in-hospital mortality in COVID-19,4/22/2021
33881211,Dementia is an age-independent risk factor for severity and death in COVID-19 inpatients,4/22/2021
33880885,Discrimination of COVID-19 from inflammation-induced cytokine storm syndromes by disease-related blood biomarkers,4/22/2021
33880789,Blood usage at a large academic center in Maryland in relation to the COVID-19 pandemic in 2020,4/22/2021
33880766,Doomsurfing and doomscrolling mediate psychological distress in COVID-19 lockdown: Implications for awareness of cognitive biases,4/22/2021
33879890,Single-cell multi-omics analysis of the immune response in COVID-19,4/22/2021
33879634,Comprehensive evaluation of the efficacy and safety of LPV/r drugs in the treatment of SARS and MERS to provide potential treatment options for COVID-19,4/22/2021
33879522,The Challenge of Identifying Pediatric Abusive Head Trauma During the COVID-19 Pandemic,4/22/2021
33879521,Hospital Admissions for Abusive Head Trauma at Children's Hospitals During COVID-19,4/22/2021
33879497,"COVID-19 Pandemic in Lebanon: One Year Later, What Have We Learnt?",4/22/2021
33879285,introducing First-Year Pharmacy Students to Caring for Older People Using Telehealth,4/22/2021
33879284,A Review of Topical Povidone-iodine to Decrease Viral Load of COViD-19,4/22/2021
33878893,Transcranial Doppler in Acute COVID-19 Infection: Unexpected Associations,4/22/2021
33878862,Facile Synthesis of Ag/AgVO(3)/N-rGO Hybrid Nanocomposites for Electrochemical Detection of Levofloxacin for Complex Biological Samples Using Screen-Printed Carbon Paste Electrodes,4/22/2021
33878775,Clinical and Demographic Risk Factors for COVID-19 during Delivery Hospitalizations in New York City,4/21/2021
33878577,Termination of the USMLE Step 2 CS: Perspectives of Surgical Residents with Diverse Medical Backgrounds,4/21/2021
33878290,Munchausen by internet and false perinatal crises,4/21/2021
33878284,Rapid assessment of mental health of Detroit-area health care workers during the COVID-19 pandemic,4/21/2021
33878211,"Reply to letter to editor ""Cancer patients should be considered as a high-risk priority target in the COVID-19 vaccination process""",4/21/2021
33878206,Cancer patients should be considered as a high risk priority target in the coronavirus disease 2019 vaccination process,4/21/2021
33878202,An Open Letter: COVID-19 and Cancer,4/21/2021
33878201,"Cancer Centers, Organizations Call for COVID-19 Vaccine for Patients With Cancer, Survivors",4/21/2021
33878167,"Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infecting Pregnant Women and the Fetus, Intrauterine Transmission and Placental Pathology During the Coronavirus Disease 2019 (COVID-19) Pandemic: It's Complicated",4/21/2021
33878151,Development of a Prone Team and Exploration of Staff Perceptions During COVID-19,4/21/2021
33878099,Failure of Free Flaps in Head and Neck Oncology Surgery in COVID-19 Patients,4/21/2021
33878081,Telehealth Utilization in Response to the COVID-19 Pandemic in Pediatric Orthopaedic Surgery,4/21/2021
33878077,Reply: Failure of Free Flaps in Head and Neck Oncology Surgery in COVID-19 Patients,4/21/2021
33878057,Coronavirus Disease 2019 (COVID-19) Vaccines and Pregnancy What Obstetricians Need to Know: Correction,4/21/2021
33878043,COVID-19 Vaccine Perceptions Among Patients With Chronic Disease in a Large Gastroenterology and Hepatology Practice,4/21/2021
33878029,Inactivation of SARS-CoV-2 Laboratory Specimens,4/21/2021
33877986,A Mixed-Signal Chip-Based Configurable Coherent Photoacoustic-Radar Sensing Platform for In Vivo Temperature Monitoring and Vital Signs Detection,4/21/2021
33877966,"CRISPR Tech Behind Super-Sensitive, Smartphone COVID Test",4/21/2021
33877955,Prevalence and associated factors of intention of COVID-19 vaccination among healthcare workers in China: application of the Health Belief Model,4/21/2021
33877939,Medical Student Attitudes Toward Blood Donation in Times of Increased Need,4/21/2021
33877905,Internet-Related Behaviors and Psychological Distress Among Schoolchildren During the COVID-19 School Hiatus,4/21/2021
33877892,Genetic Testing in the Age of COVID-19 and Beyond,4/21/2021
33877890,Implementation and Monitoring of a Telemedicine Model in Acromegalic Outpatients in a Low-Income Country During the COVID-19 Pandemic,4/21/2021
33877781,Small but nimble: measures taken to face the COVID-19 pandemic in small French military hospitals,4/21/2021
33877779,Comparing apples with oranges: administrative expenses and finances in Medicare systems,4/21/2021
33877776,Regulation of provider networks in response to COVID-19,4/21/2021
33877771,"Imagining a world without low-value services: progress, barriers, and the path forward",4/21/2021
33877770,Enhance care continuity post COVID-19,4/21/2021
33877285,Molecular COVID-19 Test Gains First EAU for At-home Use,4/21/2021
33877284,Pathway Eased for Serial COVID-19 Screening Tests,4/21/2021
33877266,"COVID-19 in Clinicians-More Cases in Women, More Deaths in Men",4/21/2021
33877074,How Social Media Can Foster Connectedness During the COVID-19 Pandemic: Voices from the #OrthoTwitter Community,4/21/2021
33877026,Reply to comments on: Unexpected detection of SARS-CoV-2 antibodies in the prepandemic period in Italy,4/21/2021
33876982,Association Between Perceived Resilience and Mental Well-Being of Saudi Nursing Students During COVID-19 Pandemic: A Cross-Sectional Study,4/21/2021
33876719,Hypothesis: AA amyloidosis is a factor causing systemic complications after coronavirus disease,4/21/2021
33876564,Hospital care of patients with inherited cardiomyopathies in Germany during the Covid-19 pandemic insights from the German-wide Helios hospital network,4/21/2021
33876506,The Impact of COVID-19 on the Latinx Population: A Scoping Literature Review,4/21/2021
33876450,Dear Pandemic: Nurses as key partners in fighting the COVID-19 infodemic,4/21/2021
33876429,Pandemics and education: A historical review,4/21/2021
33875890,COVID-19 dynamics after a national immunization program in Israel,4/21/2021
33875889,Leave no one behind: ensuring access to COVID-19 vaccines for refugee and displaced populations,4/21/2021
33875881,Immunity after SARS-CoV-2 infections,4/21/2021
33875330,"""Trying My Best"": Sexual Minority Adolescents' Self-Care During the COVID-19 Pandemic",4/21/2021
33875039,Utilizing Rapid Research Implementation and Collaborations to Assess the Mental Health Impact of the COVID-19 Pandemic among Community and Clinical Cohorts,4/21/2021
33874789,The Neurobiology of Modern Viral Scourges: ZIKV and COVID-19,4/21/2021
33874769,A High-Throughput Radioactivity-Based Assay for Screening SARS-CoV-2 nsp10-nsp16 Complex,4/21/2021
33874741,Acute Coronary Syndrome and Ischemic Stroke Discharges in the United States During the COVID-19 Pandemic,4/21/2021
33873155,"Effects of COVID-19 Lockdown and a Subsequent Retraining Period on Elite Athletes' Workload, Performance, and Autonomic Responses: A Case Series",4/20/2021
33872916,COVID-19: A call for mentorship in radiology,4/20/2021
33872822,Pediatric Trainees as Parents: Perspectives from a Pandemic,4/20/2021
33872801,Design and challenges of a large HIV prevention clinical study on mother-to-child transmission: ANRS 12397 PROMISE-EPI study in Zambia and Burkina Faso,4/20/2021
33872546,Tissue Plasminogen Activator in Critically Ill Adults with COVID-19,4/20/2021
33872542,Incidence and Severity of COVID-19 in HIV-Positive Persons Receiving Antiretroviral Therapy,4/20/2021
33872541,Incidence and Severity of COVID-19 in HIV-Positive Persons Receiving Antiretroviral Therapy,4/20/2021
33872539,The Sensitivity and Costs of Testing for SARS-CoV-2 Infection With Saliva Versus Nasopharyngeal Swabs,4/20/2021
33872538,Cloth Masks May Prevent Transmission of COVID-19,4/20/2021
33872537,Cloth Masks May Prevent Transmission of COVID-19,4/20/2021
33872536,Cloth Masks May Prevent Transmission of COVID-19,4/20/2021
33872535,Cloth Masks May Prevent Transmission of COVID-19,4/20/2021
33872527,Correction: The Sensitivity and Costs of Testing for SARS-CoV-2 Infection With Saliva Versus Nasopharyngeal Swabs,4/20/2021
33872520,"Modeling Immunity In Vitro: Slices, Chips, and Engineered Tissues",4/20/2021
33872441,The Need for Digital Health Solutions in Deep Brain Stimulation for Parkinson's Disease in the Time of COVID-19 and Beyond,4/20/2021
33872397,Hematologic adaptation to mask-wearing among pregnant women and obstetrical outcome during the COVID-19 pandemic,4/20/2021
33872386,COVID-19 vaccine acceptance in pregnant women,4/20/2021
33872385,Coronavirus disease 2019 and clinical research in U.S. nursing homes,4/20/2021
33872292,Physician Perspectives about Telemedicine: Considering the Usability of Telemedicine in Response to COVID-19,4/20/2021
33872279,"Multisystem Inflammatory Syndrome in Infants <12 months of Age, United States, May 2020-January 2021",4/20/2021
33872268,A Conversation with Annette Kennedy,4/20/2021
33872267,COVID-19 and Our National 'Moral Imperative',4/20/2021
33872263,A Look Back at the Year of the Nurse and the Midwife,4/20/2021
33872262,CE: Providing Care for Caregivers During COVID-19,4/20/2021
33872261,CE: Multisystem Inflammatory Syndrome in Children: A Review,4/20/2021
33872253,COVID-19: Impact on Nurses and Nursing,4/20/2021
33872252,NewsCAP: Roughly 40% of U.S. coronavirus deaths could have been prevented,4/20/2021
33872249,NewsCAP: Low rates of COVID-19 in preschool-aged children,4/20/2021
33872248,NewsCAP: Statewide mask mandates reduced COVID-19 transmission and associated deaths,4/20/2021
33872244,Virtual Care Takes Off During COVID-19 Pandemic,4/20/2021
33872239,The Future of Nursing 2020-2030,4/20/2021
33872225,The COVID-19 pandemic and sexually transmitted infections: Where do we go from here?,4/20/2021
33872224,"Changes in sexual behavior related to the COVID-19 stay-at-home orders among young Black men who have sex with women in New Orleans, LA",4/20/2021
33872203,Reconstruction of COVID-19-Related Compartment Syndrome With Massive Soft Tissue Necrosis,4/20/2021
33872175,Many-Objective Evolutionary Algorithm With Reference Point-Based Fuzzy Correlation Entropy for Energy-Efficient Job Shop Scheduling With Limited Workers,4/20/2021
33872157,Convolutional Sparse Support Estimator-Based COVID-19 Recognition From X-Ray Images,4/20/2021
33872135,"Symptoms, Pulmonary Function and Functional Capacity Four Months after COVID-19",4/20/2021
33872068,COVID-19: A Mitochondrial Perspective,4/20/2021
33872047,Correction: Quantifying Potential Tradeoffs in COVID-19 Vaccine Deployment,4/20/2021
33871991,Indoor-Generated PM(2.5) During COVID-19 Shutdowns Across California: Application of the PurpleAir Indoor-Outdoor Low-Cost Sensor Network,4/20/2021
33871953,SARS-Cov-2: The relevance and Prevention of Aerosol Transmission,4/20/2021
33871948,Working in Creative Partnership with Students to Co-Produce Neuroanatomy e-Learning Resources in a new era of Blended Learning,4/20/2021
33871452,Two-Step Reverse Transcription Droplet Digital PCR Protocols for SARS-CoV-2 Detection and Quantification,4/20/2021
33871431,Parking Meters to Touch Screens: The Unforeseen Barriers that Expansion of Telemedicine Presents to the Disability Community,4/20/2021
33871422,The clinical epidemiology of coronavirus disease 2019 in children and adolescents mirrors the widening gap in healthcare disparities,4/20/2021
33871408,Case Report of Two Patients With COVID-19 and Sacral Pressure Injuries Associated with Pyoderma Gangrenosum,4/20/2021
33871407,Association between Protective Masks Combined with Goggles and Skin Injuries in Medical Staff during the COVID-19 Pandemic,4/20/2021
33871401,Global interventions in hypertension: new and emerging concepts,4/20/2021
33871331,"Respiratory Viral Shedding in Healthcare Workers Reinfected with SARS-CoV-2, Brazil, 2020",4/20/2021
33871313,Anxiety and COVID-19: A study of online content readability,4/20/2021
33871302,Population Mental Health and COVID-19: Why Do We Know So Little?,4/20/2021
33871280,Expanding access to psychosocial research studies during the COVID-19 pandemic through virtual modalities,4/20/2021
33871270,Videoconference fatigue? Exploring changes in fatigue after videoconference meetings during COVID-19,4/20/2021
33871269,The psychological implications of COVID-19 on employee job insecurity and its consequences: The mitigating role of organization adaptive practices,4/20/2021
33871226,Point-of-Care Ultrasound Findings in Multisystem Inflammatory Syndrome in Children: A Cross-Sectional Study,4/20/2021
33871091,The spread of Yellow fever amidst the COVID-19 pandemic in Africa and the ongoing efforts to mitigate it,4/20/2021
33870955,Rethinking Home-based Outpatient Parenteral Antibiotic Therapy for Persons Who Inject Drugs: An Opportunity for Change in the Time of COVID-19,4/20/2021
33870953,Virtual Twelve Step Meeting Attendance During the COVID-19 Period: A Study of Members of Narcotics Anonymous,4/20/2021
33870952,Opioid-related Emergency Department Visits During COVID-19 in a Large Health System,4/20/2021
33870924,Convalescent Plasma and Coronavirus Disease 2019: Time for Reassessment,4/20/2021
33870923,Severe Acute Respiratory Syndrome Coronavirus 2 Convalescent Plasma Versus Standard Plasma in Coronavirus Disease 2019 Infected Hospitalized Patients in New York: A Double-Blind Randomized Trial,4/20/2021
33870921,Understanding the Underlying Mechanisms of Hyponatremia in Coronavirus Disease 2019 Is Critical Since Treatment Varies Based on Etiology: Let Us Not Forget Critical Illness-Related Corticosteroid Insufficiency As the Treatment Is Very Different and Often Lifesaving!,4/20/2021
33870918,Acute Cardiac Injury in Coronavirus Disease 2019 and Other Viral Infections-A Systematic Review and Meta-Analysis,4/20/2021
33870881,Feasibility of a COVID-19 Rapid Response Telehealth Group Addressing Older Adult Worry and Social Isolation,4/20/2021
33870877,"Psychosocial impact of the COVID-19 pandemic on cancer patients, survivors and caregivers",4/20/2021
33870874,Living with Grief Since COVID-19,4/20/2021
33870852,"High Child-Pugh and CRUB65 scores predict mortality of decompensated cirrhosis patients with COVID-19: A 23-center, retrospective study",4/20/2021
33870851,Serological investigation of asymptomatic cases of SARS-CoV-2 infection reveals weak and declining antibody responses,4/20/2021
33870763,Ischemic Stroke in the Young,4/20/2021
33870739,Custodial Grandparent's Job Loss During the COVID-19 Pandemic and Its Relationship With Parenting Stress and Mental Health,4/20/2021
33870659,Functional Outcomes and Post-Discharge Care Sought by Patients with COVID-19 Compared to Matched Controls After Completing Inpatient Acute Rehabilitation,4/20/2021
33870555,The positive environmental impact of virtual isotretinoin management,4/20/2021
33870510,Challenges facing nurse managers during and beyond COVID-19 pandemic in relation to perceived organizational support,4/20/2021
33870496,Interpersonal cognitive distortions and family role performances in spouses during COVID-19 pandemic process in Turkey,4/20/2021
33870492,CORRIGENDUM: Prioritization of Anti-SARS-Cov-2 Drug Repurposing Opportunities Based on Plasma and Target Site Concentrations Derived from their Established Human Pharmacokinetics,4/20/2021
33870412,A Practical Approach to Hospital Visitation During a Pandemic: Responding With Compassion to Unjustified Restrictions,4/20/2021
33867469,Streamlining Care for Skin Cancers in the COVID-19 Pandemic,4/20/2021
33867458,Management of maternal COVID-19: considerations for anesthesiologists,4/20/2021
33867089,A scholarly concentration program to promote public health nursing for generalist Clinical Nurse Leader students,4/20/2021
33867007,"Clinical Characteristics of the First 100 Patients of COVID-19 in Tobruk, Libya: A Brief Report from Low-Resource Settings",4/20/2021
33867006,BURNOUT AND SOURCES OF STRESS AMONG HEALTHCARE RISK MANAGERS & PATIENT SAFETY PERSONNEL DURING THE COVID-19 PANDEMIC: A PILOT STUDY,4/20/2021
33867005,COVID-19 prediction models need robust and transparent development,4/20/2021
33867004,Addressing Pediatric Mental Health during COVID-19 and other Disasters: A National Tabletop Exercise,4/20/2021
33867003,Epidemiological Trends of Coronavirus Disease 2019 in Iraqi Kurdistan,4/20/2021
33867002,India fighting COVID 19: experiences and lessons learnt from the successful Kerala and Bhilwara model,4/20/2021
33867001,COVID-19 resurgence: lessons learnt to inform the South African response,4/20/2021
33866995,The Role of Procalcitonin in Antibiotic Decision-Making in Covid-19 Infection,4/20/2021
33866991,Inter-hospital outbreak of Burkholderia cepacia complex VAP caused by contaminated mouthwash in coronavirus disease 2019 (COVID-19) patients,4/20/2021
33866989,COVID-19 Vaccination Preparedness Policies in U.S. Hospitals,4/20/2021
33866984,Utility of viral whole genome sequencing for institutional infection surveillance during the SARS-CoV-2 pandemic,4/20/2021
33866983,Bed Surge Capacity in Saudi Hospitals during COVID-19 Pandemic,4/20/2021
33866981,Deploying Healthcare Providers during COVID-19 Pandemic,4/20/2021
33866958,The Turkish adaptation and psychometric characteristics of the COVID-19 Traumatic Stress Scale,4/20/2021
33866952,Risk Perception and Behavioral Response to COVID-19: A Survey of University Students and Staff in the Iraqi Kurdistan Region,4/20/2021
33866864,Telerounding Has Clinical Value and Enables the Busy Surgeon: A Colorectal Surgeon's Ten-Year Experience,4/20/2021
33866855,Longitudinal Analysis of Short-term Changes in Relationship Conflict During COVID-19: A Risk and Resilience Perspective,4/20/2021
33866839,Intimate Partner Violence Experiences During COVID-19 Among Male Couples,4/20/2021
33866822,SARS-CoV-2 Cardiac Involvement in Young Competitive Athletes,4/20/2021
33866685,COVID-19: A Catalyst for Change in Virtual Healthcare Utilization for Persons with Limb Loss,4/19/2021
33866672,Reduced humoral response to mRNA SARS-CoV-2 BNT162b2 vaccine in kidney transplant recipients without prior exposure to the virus,4/19/2021
33866607,"The good, the bad and the ugly: G-CSF, ageing and neutrophils-Implications for severe COVID-19",4/19/2021
33866551,A snapshot of the prevalence of endocrine disorders in pregnancies complicated by COVID-19: A narrative review with meta-analysis,4/19/2021
33866272,Telestroke Across the Continuum of Care: Lessons from the COVID-19 Pandemic,4/19/2021
33865844,"Current Resources for Evidence-Based Practice, May 2021",4/19/2021
33865755,Radiologist Well-Being and Professional Fulfillment in the COVID-19 Era: Fostering Posttraumatic Growth,4/19/2021
33865290,How the COVID-19 pandemic is affecting graduating dermatology residents and fellows,4/19/2021
33865275,A virtual faculty exchange program enhances dermatology resident education in the COVID-19 era: a survey study,4/19/2021
33865273,Patient safety in dermatology: a ten-year update,4/19/2021
33864722,Immunogenicity of SARS-CoV-2 BNT162b2 vaccine in solid organ transplant recipients,4/18/2021
33864717,Risk factors and characteristics associated with persistent smell loss in coronavirus disease 2019 (COVID-19) patients,4/18/2021
33864655,Molecular basis for higher affinity of SARS-CoV-2 spike RBD for human ACE2 receptor,4/18/2021
33864640,Assessing the Outbreak Risk of Epidemics Using Fuzzy Evidential Reasoning,4/18/2021
33864309,The COVID-19 outbreak in Saudi Arabia and the impact on patient safety incident reports: An empirical study among the medical facilities of Qassim health cluster,4/18/2021
33864252,Health-related quality of life and quality of care in pregnant and postnatal women during the coronavirus disease 2019 pandemic: A cohort study,4/18/2021
33864052,"Modeling vaccination rollouts, SARS-CoV-2 variants and the requirement for non-pharmaceutical interventions in Italy",4/18/2021
